COUNTY_ID,COUNTY,COLUMN1,COLUMN2,COLUMN3,COLUMN4,COLUMN5,COLUMN6,COLUMN7,COLUMN8,COLUMN9,COLUMN10,INFO_TIME
縣市代碼,縣市名稱,農戶數,稻作收穫面積,稻米產量,耕地面積,水田面積,旱田面積,耕地率,水田占耕地面積比率,旱田占耕地面積比率,平均每一農戶耕地面積,資料時間
65000,新北市,34629.000000,153.390000,667.147000,24416.270000,9886.810000,14529.460000,11.895482,40.492712,59.507288,0.705082,"109Y"
63000,臺北市,8735.000000,458.250000,1548.807000,3233.380000,1021.230000,2212.150000,11.896187,31.583977,68.416023,0.370164,"109Y"
68000,桃園市,47744.000000,13989.960000,59261.007000,31640.850000,26679.290000,4961.560000,25.914858,84.319132,15.680868,0.662719,"109Y"
66000,臺中市,66181.000000,24248.620000,123695.213000,47616.760000,21517.390000,26099.370000,21.498410,45.188690,54.811310,0.719493,"109Y"
67000,臺南市,90810.000000,23846.250000,124020.672000,91830.390000,43054.210000,48776.180000,41.900057,46.884490,53.115510,1.011237,"109Y"
64000,高雄市,69744.000000,4978.970000,30448.563000,47614.070000,18438.910000,29175.160000,16.130234,38.725759,61.274241,0.682698,"109Y"
10002,宜蘭縣,28951.000000,11121.110000,55494.283000,26236.140000,16522.800000,9713.340000,12.239146,62.977252,37.022748,0.906226,"109Y"
10004,新竹縣,24692.000000,7174.230000,29886.816000,27563.840000,13400.040000,14163.800000,19.308671,48.614562,51.385438,1.116306,"109Y"
10005,苗栗縣,38016.000000,10563.070000,54620.908000,33280.390000,14853.440000,18426.950000,18.282765,44.631208,55.368792,0.875431,"109Y"
10007,彰化縣,82732.000000,47702.480000,280200.482000,61211.340000,45248.900000,15962.440000,56.972792,73.922414,26.077586,0.739875,"109Y"
10008,南投縣,43503.000000,4283.780000,24878.582000,65351.760000,8335.940000,57015.820000,15.914472,12.755494,87.244506,1.502236,"109Y"
10009,雲林縣,71873.000000,41659.540000,240642.240000,79778.470000,54814.310000,24964.160000,61.803885,68.708149,31.291851,1.109992,"109Y"
10010,嘉義縣,56415.000000,31322.100000,182687.522000,73283.650000,39920.990000,33362.660000,38.496657,54.474620,45.525380,1.299010,"109Y"
10013,屏東縣,60056.000000,6542.280000,38360.574000,70599.950000,30681.340000,39918.610000,25.435921,43.458019,56.541981,1.175569,"109Y"
10014,臺東縣,15894.000000,13060.990000,57242.848000,47724.850000,11921.050000,35803.800000,13.576507,24.978706,75.021294,3.002696,"109Y"
10015,花蓮縣,17097.000000,18126.110000,70171.943000,46311.420000,11317.360000,34994.060000,10.005554,24.437515,75.562485,2.708745,"109Y"
10016,澎湖縣,6098.000000,,,5621.080000,,5621.080000,44.307885,,100.000000,0.921791,"109Y"
10017,基隆市,1286.000000,,,735.280000,250.230000,485.050000,5.538461,34.031933,65.968067,0.571757,"109Y"
10018,新竹市,5476.000000,1208.070000,5859.938000,2222.740000,1599.680000,623.060000,21.341186,71.968831,28.031169,0.405906,"109Y"
10020,嘉義市,5318.000000,1345.170000,7488.981000,1793.220000,864.640000,928.580000,29.874254,48.217174,51.782826,0.337198,"109Y"
09020,金門縣,,,,2012.710000,,2012.710000,13.271549,,100.000000,,"109Y"
09007,連江縣,,,,,,,,,,,"109Y"
