COUNTY_ID,COUNTY,COLUMN1,COLUMN2,COLUMN3,COLUMN4,COLUMN5,INFO_TIME
縣市代碼,縣市名稱,犯罪人口率,兒童犯罪人口率,少年犯罪人口率,青年犯罪人口率,成年犯罪人口率,資料時間
65000,新北市,797.410000,18.579806,699.486596,1380.032954,845.882173,"108Y"
63000,臺北市,1596.350000,11.233851,837.711943,2957.810374,1762.253086,"108Y"
68000,桃園市,808.520000,7.457330,345.183206,1054.138325,951.906046,"108Y"
66000,臺中市,981.320000,13.364870,557.164433,1642.135301,1093.261456,"108Y"
67000,臺南市,1307.240000,29.229446,734.635281,2077.874552,1433.157580,"108Y"
64000,高雄市,1113.630000,20.748203,667.463008,1756.452561,1215.441910,"108Y"
10002,宜蘭縣,1495.930000,16.630831,1126.410441,2153.461607,1632.439928,"108Y"
10004,新竹縣,1148.500000,16.447481,721.819732,1603.905160,1341.753922,"108Y"
10005,苗栗縣,936.100000,13.244532,536.266969,1265.407508,1050.114319,"108Y"
10007,彰化縣,1197.900000,21.659505,729.653641,1573.730286,1352.893185,"108Y"
10008,南投縣,1337.850000,14.744913,1148.406763,2037.032333,1419.587886,"108Y"
10009,雲林縣,1272.120000,27.143027,594.696877,1659.504562,1423.175407,"108Y"
10010,嘉義縣,1552.000000,25.466172,977.887249,2274.385488,1653.421913,"108Y"
10013,屏東縣,1253.080000,27.015466,709.196058,1610.508106,1381.095242,"108Y"
10014,臺東縣,1425.750000,66.504668,844.914719,2076.644975,1560.430291,"108Y"
10015,花蓮縣,1942.790000,32.772379,1932.996688,3439.698395,2021.802510,"108Y"
10016,澎湖縣,1102.810000,91.716824,1635.420822,1832.434083,1090.273676,"108Y"
10017,基隆市,1589.340000,26.982815,1144.313542,2674.384142,1670.716733,"108Y"
10018,新竹市,1109.300000,8.067444,541.177642,1951.852299,1287.681614,"108Y"
10020,嘉義市,1316.030000,7.108710,664.697194,2401.949922,1435.043995,"108Y"
09020,金門縣,790.820000,37.497071,900.987252,1170.320668,814.209028,"108Y"
09007,連江縣,596.670000,,706.090026,393.894633,685.199687,"108Y"
