COUNTY_ID,COUNTY,LINF01_T,LINF01_C1,LINF01_C2,LINF01_C3,LINF01_C4,LINF01_C5,LINF01_C6,LINF01_C7,LINF01_C8,LINF01_C9,LINF01_C10,LINF01_C11,LINF01_C12,LINF02_T,LINF02_C1,LINF02_C2,LINF02_C3,LINF02_C4,LINF02_C5,LINF02_C6,LINF02_C7,LINF02_C8,LINF02_C9,LINF02_C10,LINF02_C11,LINF02_C12,LINF03_T,LINF03_C1,LINF03_C2,LINF03_C3,LINF03_C4,LINF03_C5,LINF03_C6,LINF03_C7,LINF03_C8,LINF03_C9,LINF03_C10,LINF03_C11,LINF03_C12,LINF04_T,LINF04_C1,LINF04_C2,LINF04_C3,LINF04_C4,LINF04_C5,LINF04_C6,LINF04_C7,LINF04_C8,LINF04_C9,LINF04_C10,LINF04_C11,LINF04_C12,LINF05_T,LINF05_C1,LINF05_C2,LINF05_C3,LINF05_C4,LINF05_C5,LINF05_C6,LINF05_C7,LINF05_C8,LINF05_C9,LINF05_C10,LINF05_C11,LINF05_C12,LINF06_T,LINF06_C1,LINF06_C2,LINF06_C3,LINF06_C4,LINF06_C5,LINF06_C6,LINF06_C7,LINF06_C8,LINF06_C9,LINF06_C10,LINF06_C11,LINF06_C12,INFO_TIME
10007,裹て郡,5644,168,4311,121,45,248,323,66,107,52,101,1,101,345117.07,4738.88,225080.45,8229.92,3960.31,9619.7,11252.24,845.76,23358.94,12216.06,6067.48,26.16,39721.15,6945000,3190000,7200000,11500000,4516129,5280000,3940000,1354000,28453000,27600000,10800000,1500000,12978723,577,4,129,5,6,249,175,7,,,,,2,30790.22,154.35,10164.71,216.06,1278.73,11412.54,7152.82,300.69,,,,,110.3,6280000,4400000,11980000,12000000,18750000,6200000,4950000,4700000,,,,,4700000,"108Y"
10008,玭щ郡,2017,52,1520,53,3,96,134,33,14,13,86,,13,110527.61,1165.46,74337.89,3378.52,152.01,3037.81,4953.02,386.77,3304.02,10587.42,4713.27,,4511.4,5600000,2000000,6200000,11500000,3800000,3200000,3600000,940000,55759000,137500000,11350000,,13680000,122,3,11,1,,42,65,,,,,,,7522.17,127.61,591.54,84.42,,2690.3,4028.31,,,,,,,4137500,4900000,3600000,9100000,,3800000,5000000,,,,,,,"108Y"
10009,冻狶郡,2962,61,2239,38,18,110,265,143,13,5,37,4,29,164945.94,2215.53,124089.56,2461.95,582.77,3738.75,8494.98,1636.88,5946.61,1726.11,2887.54,584.84,10580.42,5865000,2100000,6800000,10730000,4750000,2737500,3100000,1080000,23159400,50500000,8505000,17333333,11900000,380,22,9,2,,33,299,15,,,,,,13425.95,955.68,647.35,60.42,,1243.77,10266.6,252.14,,,,,,3000000,2450000,7200000,5130000,,3300000,3000000,1460000,,,,,,"108Y"
10010,古竡郡,2366,103,1750,44,3,33,120,230,20,10,16,2,35,124415.53,2399.87,85773.51,2340.12,74.74,1129,4208.89,1896.42,6451.52,6041.74,891.8,24.57,13183.35,4020000,1590000,5025000,9050000,5500000,2500000,3565000,550000,17935000,11891880,5781250,2427500,3300000,69,5,28,2,,13,18,3,,,,,,3094.75,204.75,1503.89,111.74,,588.96,662.9,22.5,,,,,,4710000,2800000,7995000,9075000,,4710000,3010000,525000,,,,,,"108Y"
10013,狥郡,4721,261,3373,80,7,321,375,191,12,5,60,3,33,248004.01,7509.35,168880.98,4869.51,309.5,11218.67,12974.12,1987.45,3326.46,7456.05,3666.73,322.62,25482.58,4280000,2100000,5900000,7500000,126667,3100000,3300000,700000,19115000,19550000,7594250,6140000,9000000,492,7,3,2,,167,255,,,,,,58,20632.57,278.32,164.06,88.37,,8109.11,10567.54,,,,,,1425.17,4151907,3100000,5200000,4482444,,3850000,4400000,,,,,,1896552,"108Y"
10014,籓狥郡,1041,66,687,53,,18,89,88,4,2,24,1,9,47355.9,2098.58,32099.35,2869.11,,507.72,3588.26,1146.9,1790.62,214.12,1498.06,29.7,1513.5,4600000,3300000,5700000,7750000,,3800000,3580000,700000,54030000,24650000,8400000,3200000,5680000,5,,,,,,4,1,,,,,,330.69,,,,,,307.89,22.8,,,,,,7280000,,,,,,13140000,2000000,,,,,,"108Y"
10015,浆郡,2494,139,1276,30,5,241,590,183,,2,25,,3,100423.1,5126.14,63392.2,2638.42,423.27,7153.29,16396.68,2317.94,,190.45,2220.48,,564.23,5000000,3500000,7125000,16075000,8009100,5550000,3925000,1650000,,19500000,16900000,,39996000,106,19,,,,21,63,3,,,,,,4023.02,837.48,,,,1175.72,1951.15,58.67,,,,,,4062500,3400000,,,,12100000,4050000,3850000,,,,,,"108Y"
10016,缄打郡,286,11,200,3,1,7,49,7,3,,2,,3,13922.1,360.33,10544.17,332.07,208.09,269.44,1598.76,157.31,273.78,,93.8,,84.34,4669000,3560000,6620000,14500000,23000000,3200000,3580000,3300000,740000,,12687423,,3200000,56,,1,,,11,43,1,,,,,,2872.59,,69.42,,,605.34,2165.44,32.39,,,,,,6070000,,3000000,,,4900000,7291667,5000000,,,,,,"108Y"
10017,膀订カ,3457,1475,343,76,13,825,582,128,4,2,1,2,6,112062.78,38371.59,16948.39,2687.04,974.27,30252.73,19437.17,1720.39,814.81,226.77,31.7,326.29,271.61,3700000,2900000,7500000,7350000,4600000,6300000,4865000,1655000,100000000,20350000,3700000,34080000,2550000,971,63,43,6,2,526,310,17,,4,,,,45310.96,2721.01,3714.9,251.34,100.03,24032.01,13826.73,407.17,,257.77,,,,6600000,4300000,13880000,12375000,10500000,6440000,6950000,2800000,,8100000,,,,"108Y"
10018,穝λカ,3075,353,1020,67,31,583,538,451,3,21,5,,3,129552.92,10509.29,61561.07,3236.84,1519.39,25488.63,17251.8,5415.64,637.09,3628.94,239.68,,64.55,6600000,4180000,11890000,15500000,8250000,9500000,5122500,2000000,43500000,26111111,9000000,,65500000,1807,44,29,22,27,1042,574,66,,3,,,,91944.42,1784.79,2492.72,1536.82,1866.48,58165.86,22555.85,1538.73,,2003.17,,,,8850000,5090000,15900000,16650000,11880000,11800000,6840000,3525000,,76586934,,,,"108Y"
10020,古竡カ,2658,127,1271,61,3,428,377,377,2,1,1,,10,112073.99,3542.5,67845.95,4634.84,537.85,14894.04,13616,3840.99,224.61,298.52,55.06,,2583.64,4100000,2480000,8880000,14400000,26130000,3400000,3300000,980000,19043750,93770000,5300000,,12000000,462,4,56,2,6,226,165,1,,,2,,,20050.26,211.14,4456.16,145.98,608.29,9959.23,4515.62,18.89,,,134.95,,,4200000,2900000,11750000,18230000,13333333,4500000,3100000,2400000,,,21900000,,,"108Y"
09020,郡,459,167,83,5,2,2,185,5,,,7,,3,15741.45,4383.41,4903.83,191.48,57.15,87.25,5437.42,70.79,,,518.03,,92.08,5750000,5000000,11000000,4500000,6850000,15350000,6010000,3200000,,,11000000,,4800000,17,6,2,,,,9,,,,,,,842.35,259.07,162.08,,,,421.2,,,,,,,6300000,5650000,8750000,,,,7000000,,,,,,,"108Y"
09007,硈郡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"108Y"
