COUNTY_ID,COUNTY,LINF01_T,LINF01_C1,LINF01_C2,LINF01_C3,LINF01_C4,LINF01_C5,LINF01_C6,LINF01_C7,LINF01_C8,LINF01_C9,LINF01_C10,LINF01_C11,LINF01_C12,LINF02_T,LINF02_C1,LINF02_C2,LINF02_C3,LINF02_C4,LINF02_C5,LINF02_C6,LINF02_C7,LINF02_C8,LINF02_C9,LINF02_C10,LINF02_C11,LINF02_C12,LINF03_T,LINF03_C1,LINF03_C2,LINF03_C3,LINF03_C4,LINF03_C5,LINF03_C6,LINF03_C7,LINF03_C8,LINF03_C9,LINF03_C10,LINF03_C11,LINF03_C12,LINF04_T,LINF04_C1,LINF04_C2,LINF04_C3,LINF04_C4,LINF04_C5,LINF04_C6,LINF04_C7,LINF04_C8,LINF04_C9,LINF04_C10,LINF04_C11,LINF04_C12,LINF05_T,LINF05_C1,LINF05_C2,LINF05_C3,LINF05_C4,LINF05_C5,LINF05_C6,LINF05_C7,LINF05_C8,LINF05_C9,LINF05_C10,LINF05_C11,LINF05_C12,LINF06_T,LINF06_C1,LINF06_C2,LINF06_C3,LINF06_C4,LINF06_C5,LINF06_C6,LINF06_C7,LINF06_C8,LINF06_C9,LINF06_C10,LINF06_C11,LINF06_C12,INFO_TIME
郡カ絏,郡カ嘿,ぃó_篈璸瓷计,ぃó_そ碕瓷计,ぃó_硓ぱ瓷计,ぃó_┍(┍鏓)瓷计,ぃó_快そ坝穨加瓷计,ぃó_加瓷计,ぃó_地稨瓷计,ぃó_甅┬瓷计,ぃó_紅瓷计,ぃó_紅快瓷计,ぃó_笰瓷计,ぃó_畐瓷计,ぃó_ㄤ篈瓷计,ぃó_篈璸縩,ぃó_そ碕縩,ぃó_硓ぱ縩,ぃó_┍(┍鏓)縩,ぃó_快そ坝穨加縩,ぃó_加縩,ぃó_地稨縩,ぃó_甅┬縩,ぃó_紅縩,ぃó_紅快縩,ぃó_笰縩,ぃó_畐縩,ぃó_ㄤ篈縩,ぃó_篈俱砰い计┬基,ぃó_そ碕い计┬基,ぃó_硓ぱい计┬基,ぃó_┍(┍鏓)い计┬基,ぃó_快そ坝穨加い计┬基,ぃó_加い计┬基,ぃó_地稨い计┬基,ぃó_甅┬い计┬基,ぃó_紅い计┬基,ぃó_紅快い计┬基,ぃó_笰い计┬基,ぃó_畐い计┬基,ぃó_ㄤ篈い计┬基,ó_篈璸瓷计,ó_そ碕瓷计,ó_硓ぱ瓷计,ó_┍(┍鏓)瓷计,ó_快そ坝穨加瓷计,ó_加瓷计,ó_地稨瓷计,ó_甅┬瓷计,ó_紅瓷计,ó_紅快瓷计,ó_笰瓷计,ó_畐瓷计,ó_ㄤ篈瓷计,ó_篈璸縩,ó_そ碕縩,ó_硓ぱ縩,ó_┍(┍鏓)縩,ó_快そ坝穨加縩,ó_加縩,ó_地稨縩,ó_甅┬縩,ó_紅縩,ó_紅快縩,ó_笰縩,ó_畐縩,ó_ㄤ篈縩,ó_篈俱砰い计┬基,ó_そ碕い计┬基,ó_硓ぱい计┬基,ó_┍(┍鏓)い计┬基,ó_快そ坝穨加い计┬基,ó_加い计┬基,ó_地稨い计┬基,ó_甅┬い计┬基,ó_紅い计┬基,ó_紅快い计┬基,ó_笰い计┬基,ó_畐い计┬基,ó_ㄤ篈い计┬基,戈丁
65000,穝カ,31489,8786,1185,584,441,14067,3722,1975,175,305,12,2,235,1075293.16,232149.14,53156.84,18751.45,20469.9,522303.36,118508.69,26815.77,37178.86,36671.21,670.8,23.3,8593.85,9200000,7500000,11000000,14500000,15300000,11650000,8700000,4500000,38944900,29620000,19625000,4100000,9130000,9779,269,330,92,86,6662,1869,181,17,254,,1,18,535938.43,12410.1,36262.15,4277.79,9295.24,339102.17,84855.51,4209.57,1743.23,38654.41,,334.97,4793.29,12600000,8790000,26000000,17270000,20340000,12800000,11500000,6000000,17000000,28767500,,78500000,11705000,"108Y"
63000,籓カ,16500,5365,579,426,540,4094,3149,2032,26,58,2,3,226,529251.54,147462.48,22795.2,13937.14,27141.66,160965.14,109187.26,26021.3,2042.99,8143.75,178.42,92.13,11284.08,15000000,12650000,19130000,23146250,22000000,22260000,18740000,7800000,31960000,42600000,38500000,9000000,14035000,3972,80,54,44,311,2022,1089,212,3,80,,,77,244203.09,3585.88,4417.26,1587.64,37440.1,120265.67,50944.49,4502.03,285.44,12151.72,,,9022.87,25800000,18240000,36540000,17800000,38000000,28500000,22500000,11000000,29700000,50530000,,,27600000,"108Y"
68000,堕カ,22674,2072,5292,475,318,9668,2827,1515,133,153,117,3,101,1033532.4,57185.11,277323.66,21010.16,14565.87,355285.03,88636.1,19688.92,79806.68,94476.51,7281.34,221.62,18051.4,6000000,3200000,7785000,11250000,10270000,6730000,4850000,1900000,72500000,32500000,16500000,820500,2500000,7592,152,459,109,108,4868,1727,132,5,18,,,14,378897.53,5904.04,33031.22,6825.29,7865.7,244848.08,71894.85,3466.58,673.72,2682.02,,,1706.04,7600000,3800000,11800000,13600000,15510000,8100000,6140000,4490000,23260000,22500000,,,12000000,"108Y"
66000,籓いカ,21643,1974,8260,614,177,5806,2320,2093,127,94,79,4,95,980092.57,53257.84,449412.99,32139.6,14484.46,233214.75,73712.75,24743.79,37164.93,30694.84,4742.06,468.67,26055.9,7050000,3800000,10500000,11375000,7000000,7500000,4520000,1600000,55500000,36294200,14275065,59155769,5720000,9678,101,275,157,252,6812,1929,142,,2,,,8,482668.06,3453.81,20968.37,9376.73,23259.67,346956.54,74715.26,2799.88,,573.86,,,563.94,8200000,4350000,14280000,12050000,13880000,8700000,6050000,3340000,,25195000,,,8275000,"108Y"
67000,籓玭カ,13951,978,7681,316,71,2051,1406,905,249,91,56,8,139,701523.6,24054.89,422195.49,19813.78,5251.27,90669.82,42550.3,9343.95,40299.03,20746.47,3961.25,2146.04,20491.3,6000000,2300000,7870000,11000000,6000000,5020000,3500000,1050000,14900000,23760000,7100000,20790000,1980000,3314,41,105,31,23,2076,969,67,,,,,2,153574.61,1610.17,7174.42,2204.82,2532.32,100276.96,38067.62,1427.55,,,,,280.76,5823000,4550000,11300000,8880000,9150000,6400000,4800000,2680000,,,,,13905000,"108Y"
64000,蔼动カ,21637,3164,8079,419,103,6820,1651,1023,138,141,52,4,43,958371.66,81285.03,435124.5,33215.59,10278.75,259527.5,46888,11680.77,21503.94,45847.7,3958.11,563.4,8498.39,5050000,2825000,8500000,12000000,7300000,5175000,3250000,1360000,19130000,17110000,8300000,28718063,9500000,8364,33,72,67,130,7299,712,30,11,5,,,5,457593.56,1317.43,5898.24,3690.28,13099.07,378124.3,29921.48,662.22,20398.61,426.9,,,4055.04,7800000,4000000,15400000,7350000,12666667,8100000,5250000,3200000,222027273,8500000,,,17600000,"108Y"
10002,﹜孽郡,3625,291,1925,96,7,186,452,436,6,19,160,3,44,174722.78,8109.29,100248.33,6300.13,189.12,7105.14,14210.64,8001.69,1808.28,7239.93,11274.86,143.38,10091.97,6720000,3300000,7880000,16000000,10380000,7810000,4725000,3250000,23950000,42500000,14750000,710000,7850000,448,16,25,1,,105,211,28,,,,,62,20114.57,644.65,2061.37,53.19,,5223.84,8967.11,684.75,,,,,2479.67,6240000,4475000,11700000,10600000,,9000000,5400000,5600000,,,,,7900000,"108Y"
10004,穝λ郡,3780,166,1650,76,4,848,669,247,18,22,74,,6,188097.92,4683.62,95702.96,4317.75,480.57,40880.19,19960.66,3707.57,4121.67,9427.4,4536.74,,278.8,6890000,2975000,9000000,15470000,24266000,8735000,4400000,2350000,18800000,43125000,11025000,,4950000,2599,32,79,46,31,1702,628,66,,14,,,1,141209.57,1300.67,5319.22,2595.23,1874.47,100212.55,24903.18,1397.75,,3568.56,,,37.94,9000000,3560000,12500000,16750000,11350000,10500000,5600000,3920000,,20133333,,,8800000,"108Y"
10005,璢郡,3041,124,1602,75,7,466,472,165,38,18,53,2,19,168908.35,4563.36,88550.62,5750.21,392.46,18779.38,17549.02,1585.69,24283.06,2566.82,4165.13,63.57,659,5670000,2300000,7000000,11600000,4000000,5685000,4025840,830000,24333333,12250000,12600000,20900000,3750000,879,10,14,8,,257,570,18,,,,,2,35942.61,414.68,990.93,371.4,,11277.04,22499.4,314.46,,,,,74.71,5650000,4150000,8450000,8115000,,6100000,5500000,2440000,,,,,4350000,"108Y"
