COUNTY_ID,COUNTY,NATURE_INC_CNT,SOCIAL_INC_CNT,INC_CNT,ENTRY_P_CNT,EXIT_P_CNT,ENTRY_ADDR_CNT,EXIT_ADDR_CNT,INFO_TIME
縣市代碼,縣市名稱,自然增加人數,社會增加人數,總增加人數,遷入人口數,遷出人口數,鄉鎮區內住址變更之遷入人口數,鄉鎮區內住址變更之遷出人口數,資料時間
65000,新北市,3315,19664,22979,177246,157582,122228,122228,"108Y"
63000,臺北市,3442,-26973,-23531,125536,152509,74338,74338,"108Y"
68000,桃園市,9643,18522,28165,105690,87168,76294,76294,"108Y"
66000,臺中市,3885,7482,11367,124952,117470,77343,77343,"108Y"
67000,臺南市,-3629,704,-2925,70844,70140,42381,42381,"108Y"
64000,高雄市,-2374,2039,-335,115950,113911,69557,69557,"108Y"
10002,宜蘭縣,-895,-148,-1043,17949,18097,11734,11734,"108Y"
10004,新竹縣,673,6250,6923,25701,19451,17576,17576,"108Y"
10005,苗栗縣,-1988,-1416,-3404,16293,17709,14430,14430,"108Y"
10007,彰化縣,1832,-6854,-5022,32551,39405,27223,27223,"108Y"
10008,南投縣,-1744,-1175,-2919,14466,15641,12847,12847,"108Y"
10009,雲林縣,-2966,-1750,-4716,19449,21199,14428,14428,"108Y"
10010,嘉義縣,-2602,-1353,-3955,14126,15479,7484,7484,"108Y"
10013,屏東縣,-3629,-2593,-6222,26208,28801,16721,16721,"108Y"
10014,臺東縣,-927,-1211,-2138,7153,8364,6919,6919,"108Y"
10015,花蓮縣,-850,-871,-1721,14543,15414,9126,9126,"108Y"
10016,澎湖縣,44,723,767,5514,4791,3070,3070,"108Y"
10017,基隆市,-1064,-198,-1262,17010,17208,9574,9574,"108Y"
10018,新竹市,1129,2039,3168,21427,19388,13858,13858,"108Y"
10020,嘉義市,-327,-605,-932,10804,11409,7989,7989,"108Y"
09020,金門縣,415,497,912,7614,7117,2866,2866,"108Y"
09007,連江縣,88,-55,33,1017,1072,367,367,"108Y"
